age_range,race,county,sex
10-19,American Indian Or Alaskan Native,Sarpy County,M
10-19,Asian Or Pacific Islander,Douglas County,F
10-19,Black,Douglas County,F
10-19,Black,Douglas County,F
10-19,Black,Douglas County,F
10-19,Black,Douglas County,F
10-19,Black,Douglas County,F
10-19,Black,Douglas County,F
10-19,Black,Douglas County,F
10-19,Black,Douglas County,F
10-19,Black,Douglas County,F
10-19,Black,Douglas County,F
10-19,Black,Douglas County,M
10-19,Black,Douglas County,M
10-19,Black,Douglas County,M
10-19,Black,Douglas County,M
10-19,Black,Douglas County,M
10-19,Black,Douglas County,M
10-19,Black,Hall County,F
10-19,Unknown,Douglas County,F
10-19,White,Adams County,F
10-19,White,Buffalo County,M
10-19,White,Dodge County,F
10-19,White,Douglas County,F
10-19,White,Douglas County,F
10-19,White,Douglas County,M
10-19,White,Lancaster County,F
10-19,White,Sarpy County,M
30-39,White,Douglas County,F
40-49,White,Douglas County,F
40-49,White,Douglas County,F
