age_range,race,county,sex
10-19,American Indian Or Alaskan Native,Douglas County,F
10-19,American Indian Or Alaskan Native,Douglas County,M
10-19,Asian Or Pacific Islander,Douglas County,M
10-19,Black,Douglas County,F
10-19,Black,Douglas County,F
10-19,Black,Douglas County,M
10-19,Black,Douglas County,M
10-19,Black,Douglas County,M
10-19,Black,Douglas County,M
10-19,Black,Lancaster County,F
10-19,Black,Sarpy County,F
10-19,Unknown,Adams County,F
10-19,White,Dawson County,M
10-19,White,Douglas County,F
10-19,White,Douglas County,F
10-19,White,Douglas County,F
10-19,White,Douglas County,M
10-19,White,Douglas County,M
10-19,White,Douglas County,M
10-19,White,Douglas County,M
10-19,White,Douglas County,M
10-19,White,Hall County,F
10-19,White,Lancaster County,F
10-19,White,Lancaster County,M
10-19,White,Madison County,F
20-29,White,Custer County,F
30-39,American Indian Or Alaskan Native,Douglas County,F
30-39,Black,Douglas County,M
30-39,White,Lancaster County,F
40-49,White,Douglas County,F
50-59,White,Douglas County,M
60-69,American Indian Or Alaskan Native,Douglas County,M
70-79,White,Douglas County,F
